ID,GENDER,DEGREE,AGE_RANGE,BLACK,LGBTQIA_PLUS,STATE,CONTRACT,WORK_PLACE,COMPANY_TYPE,COMPANY_SIZE,ANDROID_ACTIVITY,WORK_LEVEL,ANDROID_SIZE,COMPANY_IN_BRAZIL,COMPANY_STATE,COMPANY_REGION,SALARY_RANGE,BENEFITS,ABROAD_COMPANY_CONTINENT,ABROAD_CURRENCY,ABROAD_SALARY_RANGE,ABROAD_RELOCATION_AID
012,M,Ensino superior incompleto,30-39,N,N,B-PE,CLT,Totalmente presencial,TEC,501,Android Primário,Pleno,11,S,PE,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, 13º Salário",,,,
013,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,51-100,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Férias, 13º Salário",,,,
014,M,Pós-graduação,30-39,N,N,B-SP,CLT,Remoto devido ao COVID,FIN,501,Android Secundário,Líder Técnico,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Home office parcial, Home office liberado",,,,
015,M,Ensino superior incompleto,21-29,N,N,B-ES,CLT,Totalmente presencial,FIN,501,Android Primário,Pleno,11,S,ES,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
016,M,Ensino superior completo,30-39,N,N,B-MG,CLT,Totalmente presencial,OUT,501,Android Primário,Especialista,5-10,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Estacionamentoacionamento, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
017,M,Ensino superior incompleto,30-39,N,N,B-RJ,CLT,Totalmente remoto,FIN,501,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Seguro de vida, Auxílio creche",,,,
018,M,Pós-graduação,21-29,N,N,B-GO,CLT,Totalmente presencial,FIN,11-50,Android Primário,Pleno,1-2,S,OU,Região metropolitana,3000-6000,Nenhum benefício,,,,
019,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação",,,,
020,M,Ensino superior completo,21-29,N,N,B-MG,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Home office liberado",,,,
021,M,Ensino superior completo,30-39,N,N,B-RS,PJS,Totalmente presencial,TEC,11-50,Android Primário,Líder Técnico,3-5,S,RS,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, 13º Salário",,,,
022,M,Pós-graduação,30-39,S,N,B-SP,SOC,Parcialmente presencial,OUT,51-100,Android Primário,Líder Técnico,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Auxílio creche, Home office parcial, Home office liberado",,,,
023,M,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche",,,,
024,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Remoto devido ao COVID,TEC,501,Android Primário,Pleno,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação",,,,
025,M,Ensino superior completo,21-29,N,N,B-RJ,CLT,Totalmente presencial,OUT,6-10,Android Primário,Pleno,1-2,S,RJ,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial",,,,
026,M,Ensino superior completo,30-39,N,N,B-SP,PJS,Totalmente remoto,TEC,101-500,Android Primário,Sênior,3-5,S,SP,Região metropolitana,12000-15000,"Estacionamentoacionamento, Home office parcial, Home office liberado, Férias, 13º Salário",,,,
027,M,Ensino superior completo,21-29,N,N,B-BA,CLT,Totalmente remoto,TEC,11-50,Android Primário,Pleno,1-2,S,BA,Interior,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Home office parcial",,,,
028,M,Pós-graduação,30-39,S,N,B-SP,CLT,Totalmente remoto,OUT,101-500,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Home office parcial, Home office liberado",,,,
029,M,Ensino superior completo,21-29,N,N,B-BA,CLT,Totalmente remoto,TEC,101-500,Android Primário,Pleno,3-5,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Estacionamento",,,,
030,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Especialista,11,S,SP,Região metropolitana,15001,"Plano de saúde, Vale refeição, Vale transporte, Seguro de vida, Férias, 13º Salário",,,,
031,M,Ensino superior completo,30-39,S,N,B-SC,CLT,Totalmente presencial,TEC,51-100,Android Primário,Sênior,1-2,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office parcial, 13º Salário",,,,
032,M,Pós-graduação,21-29,N,N,B-PE,CLT,Parcialmente presencial,TEC,51-100,Android Primário,Júnior,5-10,S,PE,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Home office parcial",,,,
033,M,Ensino superior completo,21-29,S,N,B-SP,CLT,Remoto devido ao COVID,VAR,6-10,Android Primário,Pleno,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office liberado",,,,
034,M,Ensino superior incompleto,21-29,N,N,B-RS,PJS,Totalmente presencial,TEC,51-100,Android Primário,Pleno,5-10,S,RS,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação",,,,
035,M,Ensino superior completo,21-29,N,N,B-PR,SOC,,TEC,11-50,Não relacionado,,,,,,,,,,,
036,M,Ensino superior incompleto,30-39,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Secundário,Sênior,11,S,SP,Região metropolitana,12000-15000,Nenhum benefício,,,,
037,M,Ensino superior incompleto,21-29,S,N,B-RJ,EST,Remoto devido ao COVID,FIN,501,Android Primário,Estagiário/Trainee,11,S,RJ,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche",,,,
038,M,Pós-graduação,21-29,N,N,B-GO,FRE,,,,,,,,,,,,,,,
039,M,Pós-graduação,30-39,N,N,B-PR,CLT,Parcialmente presencial,TEC,51-100,Android Primário,Especialista,5-10,S,PR,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Home office parcial",,,,
040,M,Pós-graduação,21-29,N,N,B-SP,CLT,Remoto devido ao COVID,TEC,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida, Home office liberado, Férias, 13º Salário",,,,
041,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente remoto,FIN,501,Android Primário,Júnior,3-5,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial, Home office liberado",,,,
042,M,Ensino superior completo,21-29,N,N,B-SC,CLT,Parcialmente presencial,FIN,101-500,Android Primário,Júnior,5-10,S,SC,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial, Outros",,,,
043,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,5-10,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para estudos",,,,
044,M,Mestrado,30-39,N,N,B-SP,CLT,Totalmente remoto,TEC,501,Android Primário,Especialista,5-10,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Vale refeição, Vale transporte",,,,
045,M,Ensino superior incompleto,21-29,S,S,E-EU,EST,Totalmente presencial,OUT,11-50,Android Primário,Estagiário/Trainee,3-5,N,,,,,EU,EUR,1000-3000,N
046,M,Ensino superior completo,30-39,N,N,B-SC,CLT,Parcialmente presencial,OUT,501,Android Secundário,Pleno,11,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Academia",,,,
047,M,Pós-graduação,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Estacionamentoudos, Home office parcial",,,,
048,M,Ensino superior completo,21-29,N,N,E-EU,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,5-10,N,,,,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Home office parcial, Férias, 13º Salário",EU,EUR,3000-6000,N/A
049,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,TEC,11-50,Android Secundário,Sênior,1-2,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Home office liberado",,,,
050,M,Ensino médio completo,21-29,N,N,B-SP,CLT,Totalmente remoto,OUT,11-50,Android Primário,Júnior,3-5,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Home office liberado",,,,
051,M,Ensino superior incompleto,21-29,N,N,B-SP,CLT,Totalmente remoto,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte",,,,
052,M,Ensino superior completo,21-29,N,N,B-SC,CLT,Parcialmente presencial,FIN,101-500,Android Primário,Sênior,5-10,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte",,,,
053,M,Ensino superior completo,21-29,N,N,B-RJ,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Pleno,5-10,S,RJ,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Estacionamentoudos, Auxílio para eventos",,,,
054,M,Ensino superior incompleto,21-29,N,N,B-MG,CLT,Remoto devido ao COVID,TEC,501,Android Primário,Pleno,11,S,MG,Região metropolitana,3000-6000,Férias,,,,
055,M,Pós-graduação,21-29,S,N,B-BA,CLT,Totalmente presencial,OUT,101-500,Android Secundário,Sênior,1-2,S,BA,Interior,3000-6000,"Plano de saúde, Vale refeição, Vale transporte, Home office parcial",,,,
056,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,TEC,101-500,Android Primário,Especialista,3-5,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Auxílio para eventosntos, Home office parcial, 13º Salário",,,,
057,M,Ensino médio completo,21-29,N,N,B-RS,EST,,FIN,501,Não relacionado,,,,,,,,,,,
058,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,TEC,101-500,Android Primário,Júnior,3-5,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
059,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Parcialmente presencial,TEC,501,Android Primário,Pleno,5-10,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
060,M,Ensino superior completo,21-29,N,N,B-PR,CLT,Remoto devido ao COVID,FIN,501,Android Secundário,Sênior,11,S,PR,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Seguro de vida, Home office parcial",,,,
061,M,Ensino superior completo,21-29,N,S,B-SC,CLT,Totalmente remoto,TEC,101-500,Android Primário,Pleno,11,S,SC,Região metropolitana,6000-9000,Home office parcial,,,,
062,F,Ensino superior completo,21-29,S,N,B-SC,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Júnior,5-10,S,SC,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Férias, 13º Salário",,,,
063,M,Mestrado,30-39,N,N,B-CE,CLT,Totalmente remoto,TEC,101-500,Android Primário,Pleno,11,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Férias, 13º Salário",,,,
064,F,Ensino superior completo,30-39,N,N,B-BA,CLT,Totalmente remoto,TEC,101-500,Android Primário,Júnior,11,S,BA,Região metropolitana,1000-3000,"Vale refeição, Férias",,,,
065,M,Mestrado,21-29,N,N,E-EU,CLT,Parcialmente presencial,TEC,501,Android Primário,Líder Técnico,11,N,,,,,EU,EUR,3000-6000,S
066,M,Ensino superior incompleto,21-29,N,N,E-EU,CLT,,OUT,501,Não relacionado,,,,,,,,,,,
067,M,Ensino superior completo,21-29,N,N,B-PR,CLT,Totalmente presencial,TEC,101-500,Android Primário,Sênior,1-2,S,PR,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte",,,,
068,M,Ensino superior completo,21-29,N,N,B-BA,CLT,Parcialmente presencial,TEC,51-100,Android Primário,Pleno,5-10,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Academia",,,,
069,F,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente remoto,TEC,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Auxílio creche, Home office liberado",,,,
070,M,Ensino superior completo,21-29,N,N,B-MG,CLT,Totalmente presencial,TEC,501,Android Primário,Sênior,11,S,MG,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Home office parcial, Férias, 13º Salário",,,,
071,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,LOG,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Vale refeição, Vale transporte, Home office parcial",,,,
072,M,Ensino superior incompleto,21-29,N,N,B-MG,CLT,Totalmente presencial,TEC,51-100,Android Primário,Líder Técnico,5-10,S,MG,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Auxílio para Estacionamentoudos, Home office parcial",,,,
073,F,Ensino superior completo,30-39,N,N,B-SP,PJS,Totalmente remoto,TEC,11-50,Android Primário,Sênior,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição",,,,
074,M,Ensino superior completo,21-29,N,N,B-MG,CLT,Totalmente presencial,TEC,501,Android Primário,Líder Técnico,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
075,M,Pós-graduação,30-39,N,N,B-SP,PJS,,OUT,6-10,Não relacionado,,,,,,,,,,,
076,M,Ensino superior completo,21-29,S,N,B-MG,CLT,Totalmente presencial,TEC,501,Android Primário,Júnior,11,S,MG,Região metropolitana,3000-6000,Nenhum benefício,,,,
077,M,Pós-graduação,30-39,N,S,E-EU,CLT,Remoto devido ao COVID,FIN,501,Android Primário,Pleno,11,N,,,,,EU,EUR,1000-3000,N
078,M,Ensino superior completo,30-39,N,N,E-EU,CLT,Totalmente presencial,VAR,101-500,Android Primário,Sênior,5-10,N,,,,,EU,EUR,3000-6000,S
079,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Pleno,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte",,,,
080,M,Ensino superior completo,21-29,N,N,B-PR,CLT,Totalmente presencial,FIN,501,Android Primário,Júnior,11,S,PR,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Home office parcial, Participação nos lucros",,,,
081,M,Pós-graduação,21-29,N,N,B-MG,CLT,Totalmente remoto,TEC,101-500,Android Primário,Júnior,11,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Estacionamentoacionamento, Seguro de vida, Auxílio para Estacionamentoudos, Home office liberado, Férias, 13º Salário",,,,
082,M,Pós-graduação,30-39,N,N,B-MG,PJS,Parcialmente presencial,TEC,6-10,Android Secundário,Júnior,1-2,S,MG,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição",,,,
083,M,Ensino superior completo,21-29,N,N,B-RS,CLT,,FIN,501,Android Primário,Sênior,11,S,RS,Região metropolitana,6000-9000,"Plano de saúde, Vale transporte",,,,
084,M,Ensino superior completo,30-39,N,N,B-SC,CLT,Parcialmente presencial,FIN,101-500,Android Primário,Sênior,5-10,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Vale refeição, Vale transporte, Home office liberado, Férias",,,,
085,M,Ensino superior incompleto,21-29,N,N,B-SP,PJS,Totalmente presencial,EDU,11-50,Android Primário,Pleno,3-5,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para estudos",,,,
086,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Auxílio para Estacionamentoudos, Home office liberado",,,,
087,M,Ensino superior completo,30-39,N,N,B-BA,CLT,Totalmente remoto,TEC,501,Android Primário,Pleno,11,S,RS,Interior,3000-6000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Home office parcial, Férias, 13º Salário",,,,
088,M,Ensino superior incompleto,21-29,S,N,B-OU,EST,,TEC,6-10,Não relacionado,,,,,,,,,,,
089,M,Ensino superior completo,21-29,S,N,B-BA,CLT,,TEC,6-10,Android Secundário,Sênior,1-2,S,BA,Interior,3000-6000,NEN,,,,
090,M,Ensino superior incompleto,30-39,S,N,B-PR,CLT,Totalmente presencial,TEC,11-50,Android Primário,Pleno,3-5,S,PR,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida, Home office liberado",,,,
091,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,FIN,51-100,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Seguro de vida",,,,
092,M,Ensino superior incompleto,30-39,N,N,B-OU,CLT,Parcialmente presencial,TEC,501,Android Secundário,Júnior,11,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
093,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,TEC,501,Android Primário,Pleno,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para eventos",,,,
094,M,Pós-graduação,21-29,S,N,B-CE,CLT,Totalmente presencial,FIN,501,Android Primário,Líder Técnico,3-5,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte",,,,
095,M,Ensino superior incompleto,21-29,S,N,B-MG,CLT,Totalmente presencial,TEC,501,Android Primário,Júnior,1-2,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio creche, Home office parcial",,,,
096,M,Mestrado,21-29,N,N,B-RS,PJS,Totalmente remoto,OUT,501,Android Primário,Sênior,3-5,N,,,,,AN,BRL,12001,N/A
097,M,Ensino superior incompleto,21-29,N,N,E-EU,CLT,Totalmente presencial,OUT,501,Android Primário,Sênior,5-10,N,,,,,EU,EUR,3000-6000,S
098,M,Ensino superior completo,30-39,N,N,B-SP,NTR,,,,,,,,,,,,,,,
099,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,Nenhum benefício,,,,
100,M,Ensino superior incompleto,21-29,N,N,B-SC,PJS,Totalmente remoto,TEC,11-50,Android Primário,Pleno,1-2,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale transporte, Seguro de vida",,,,
101,M,Ensino superior incompleto,21-29,N,N,B-BA,CLT,Totalmente remoto,TEC,101-500,Android Primário,Júnior,11,S,BA,Região metropolitana,1000-3000,"Vale refeição, Vale transporte, Estacionamentoacionamento, Auxílio para Estacionamentoudos, Home office parcial",,,,
102,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,FIN,11-50,Android Primário,Sênior,1-2,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Home office parcial, 13º Salário, Outros",,,,
103,M,Pós-graduação,30-39,N,N,B-RS,FRE,,,,,,,,,,,,,,,
104,M,Ensino superior completo,21-29,S,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Estacionamento",,,,
105,M,Mestrado,30-39,N,N,B-MG,PJS,Totalmente remoto,TEC,101-500,Android Primário,Sênior,11,S,SP,Interior,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
106,M,Pós-graduação,30-39,N,N,B-PE,CLT,Totalmente remoto,TEC,501,Android Primário,Líder Técnico,11,S,PE,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para estudos",,,,
107,M,Pós-graduação,21-29,S,N,B-RJ,PJS,Totalmente remoto,TEC,6-10,Android Secundário,Sênior,3-5,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para eventos",,,,
108,M,Pós-graduação,21-29,N,N,B-RS,CLT,Parcialmente presencial,FIN,101-500,Android Secundário,Sênior,11,S,RS,Região metropolitana,6000-9000,"Home office liberado, Férias",,,,
109,M,Mestrado,30-39,S,N,B-MG,PJS,,EDU,11-50,Não relacionado,,,,,,,,,,,
110,M,Ensino superior incompleto,18-20,N,N,B-MG,EST,Totalmente presencial,TEC,101-500,Android Primário,Estagiário/Trainee,11,S,MG,Região metropolitana,1000-3000,"Plano de saúde, Vale transporte",,,,
